0.	0.	0.
0.01	-0.00005	-0.0000489526918
0.02	-0.0002	-0.0001958107672
0.03	-0.00045	-0.0004405742262
0.04	-0.0008	-0.0007832430688
0.05	-0.0012500000000000002	-0.0012238172950000002
0.06	-0.0018	-0.0017622969048
0.07	-0.0024500000000000004	-0.0023986818982000002
0.08	-0.0032	-0.0031329722752
0.09	-0.00405	-0.0039651680358
0.1	-0.005000000000000001	-0.004895269180000001
0.11	-0.00605	-0.0059232757078
0.12	-0.0072	-0.0070491876192
0.13	-0.008450000000000001	-0.008273004914200001
0.14	-0.009800000000000001	-0.009594727592800001
0.15	-0.01125	-0.011014355654999999
0.16	-0.0128	-0.0125318891008
0.17	-0.014450000000000003	-0.014147327930200002
0.18	-0.0162	-0.0158606721432
0.19	-0.01805	-0.0176719217398
0.2	-0.020000000000000004	-0.019581076720000003
0.21	-0.022049999999999997	-0.021588137083799995
0.22	-0.0242	-0.0236931028312
0.23	-0.02645	-0.0258959739622
0.24	-0.0288	-0.0281967504768
0.25	-0.03125	-0.030595432375
0.26	-0.033800000000000004	-0.033092019656800004
0.27	-0.03645	-0.0356865123222
0.28	-0.039200000000000006	-0.038378910371200003
0.29	-0.04205	-0.041169213803799995
0.3	-0.045	-0.044057422619999995
0.31	-0.04805	-0.0470435368198
0.32	-0.0512	-0.0501275564032
0.33	-0.054450000000000005	-0.0533094813702
0.34	-0.05780000000000001	-0.056589311720800006
0.35000000000000003	-0.06125000000000001	-0.05996704745500001
0.36	-0.0648	-0.0634426885728
0.37	-0.06845	-0.0670162350742
0.38	-0.0722	-0.0706876869592
0.39	-0.07605	-0.0744570442278
0.4	-0.08000000000000002	-0.07832430688000001
0.41000000000000003	-0.08405000000000001	-0.0822894749158
0.42	-0.08819999999999999	-0.08635254833519998
0.43	-0.09244999999999999	-0.09051352713819999
0.44	-0.0968	-0.0947724113248
0.45	-0.10125	-0.099129200895
0.46	-0.1058	-0.1035838958488
0.47000000000000003	-0.11045000000000002	-0.10813649618620001
0.48	-0.1152	-0.1127870019072
0.49	-0.12004999999999999	-0.11753541301179998
0.5	-0.125	-0.1223817295
0.51	-0.13005	-0.1273259513718
0.52	-0.13520000000000001	-0.13236807862720001
0.53	-0.14045000000000002	-0.13750811126620002
0.54	-0.1458	-0.1427460492888
0.55	-0.15125000000000002	-0.14808189269500002
0.56	-0.15680000000000002	-0.15351564148480001
0.5700000000000001	-0.16245000000000004	-0.15904729565820003
0.58	-0.1682	-0.16467685521519998
0.59	-0.17404999999999998	-0.17040432015579998
0.6	-0.18	-0.17622969047999998
0.61	-0.18605	-0.1821529661878
0.62	-0.1922	-0.1881741472792
0.63	-0.19845000000000002	-0.19429323375420002
0.64	-0.2048	-0.2005102256128
0.65	-0.21125000000000002	-0.20682512285500002
0.66	-0.21780000000000002	-0.2132379254808
0.67	-0.22445000000000004	-0.21974863349020002
0.68	-0.23120000000000004	-0.22635724688320003
0.6900000000000001	-0.23805000000000004	-0.23306376565980003
0.7000000000000001	-0.24500000000000005	-0.23986818982000005
0.71	-0.25205	-0.24677051936379998
0.72	-0.2592	-0.2537707542912
0.73	-0.26644999999999996	-0.2608688946022
0.74	-0.2738	-0.2680649402968
0.75	-0.28125	-0.27535889137499997
0.76	-0.2888	-0.2827507478368
0.77	-0.29645	-0.2902405096822
0.78	-0.3042	-0.2978281769112
0.79	-0.31205000000000005	-0.30551374952380006
0.8	-0.32000000000000006	-0.31329722752000005
0.81	-0.32805000000000006	-0.32117861089980004
0.8200000000000001	-0.33620000000000005	-0.3291578996632
0.8300000000000001	-0.34445000000000003	-0.3372350938102
0.84	-0.35279999999999995	-0.3454101933407999
0.85	-0.36124999999999996	-0.35368319825499994
0.86	-0.36979999999999996	-0.36205410855279996
0.87	-0.37845	-0.37052292423419997
0.88	-0.3872	-0.3790896452992
0.89	-0.39605	-0.3877542717478
0.9	-0.405	-0.39651680358
0.91	-0.41405000000000003	-0.4053772407958
0.92	-0.4232	-0.4143355833952
0.93	-0.43245000000000006	-0.4233918313782
0.9400000000000001	-0.4418000000000001	-0.43254598474480005
0.9500000000000001	-0.45125000000000004	-0.441798043495
0.96	-0.4608	-0.4511480076288
0.97	-0.47045	-0.4605958771462
0.98	-0.48019999999999996	-0.47014165204719993
0.99	-0.49005	-0.4797853323318
1.	-0.5	-0.489526918
